intervalo hora_ini hora_fin sect_1 Sect_2 Sect_3 Sect_4 Sect_5 Sect_6 Sect_7 Sect_8 Sect_9 Sect_10
06:00-13:29 06:00:00 13:29:00 13:00:00 13:00:00 12:30:00 12:00:00 11:30:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00
13:30-13:59 13:30:00 13:59:00 12:45:00 12:45:00 12:15:00 11:45:00 11:15:00 10:45:00 10:15:00 09:45:00 09:15:00 09:00:00
14:00-14:29 14:00:00 14:29:00 12:30:00 12:30:00 12:00:00 11:30:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00 09:00:00
14:30-14:59 14:30:00 14:59:00 12:15:00 12:15:00 11:45:00 11:15:00 10:45:00 10:15:00 09:45:00 09:15:00 09:00:00 09:00:00
15:00-15:29 15:00:00 15:29:00 12:00:00 12:00:00 11:30:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00 09:00:00 09:00:00
15:30-15:59 15:30:00 15:59:00 11:45:00 11:45:00 11:15:00 10:45:00 10:15:00 09:45:00 09:15:00 09:00:00 09:00:00 09:00:00
16:00-16:29 16:00:00 16:29:00 11:30:00 11:30:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00 09:00:00 09:00:00 09:00:00
16:30-16:59 16:30:00 16:59:00 11:15:00 11:15:00 10:45:00 10:15:00 09:45:00 09:15:00 09:00:00 09:00:00 09:00:00 09:00:00
17:00-04:59 17:00:00 04:59:00 11:00:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00 09:00:00 09:00:00 09:00:00 09:00:00
05:00-05:14 05:00:00 05:14:00 12:00:00 12:00:00 11:30:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00 09:00:00 09:00:00
05:15-05:29 05:15:00 05:29:00 12:15:00 12:15:00 11:45:00 11:15:00 10:45:00 10:15:00 09:45:00 09:15:00 09:00:00 09:00:00
05:30-05:44 05:30:00 05:44:00 12:30:00 12:30:00 12:00:00 11:30:00 11:00:00 10:30:00 10:00:00 09:30:00 09:00:00 09:00:00
05:45-05:59 05:45:00 05:59:00 12:45:00 12:45:00 12:15:00 11:45:00 11:15:00 10:45:00 10:15:00 09:45:00 09:15:00 09:00:00
